time,place,mag,depth,longitude,latitude,type,id,url
2024-03-13 09:38:32.834,South Sandwich Islands region,4.7,10.0,-23.7531,-57.7997,earthquake,us6000mjss,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjss
2024-03-13 09:30:04.955,"84 km N of Camiña, Chile",5.3,108.901,-69.3029,-18.5627,earthquake,us6000mijr,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mijr
2024-03-13 08:26:38.917,"54 km WNW of Manta, Ecuador",4.5,10.0,-81.1198,-0.6921,earthquake,us6000mjsn,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjsn
2024-03-13 07:08:43.885,"84 km SSE of Naze, Japan",4.7,22.286,129.8041,27.6591,earthquake,us6000mij7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mij7
2024-03-13 06:44:22.335,"66 km WSW of Panguna, Papua New Guinea",4.6,71.372,154.9251,-6.5336,earthquake,us6000mjsk,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjsk
2024-03-13 04:41:01.434,"96 km NE of Tobelo, Indonesia",4.5,238.1,128.53,2.4283,earthquake,us6000mjsi,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjsi
2024-03-13 04:20:12.659,"190 km NNW of Puerto Ayora, Ecuador",4.6,10.0,-90.8147,0.9113,earthquake,us6000miin,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miin
2024-03-13 02:50:35.345,"15 km N of Oyolo, Peru",4.7,78.748,-73.1932,-15.0414,earthquake,us6000miic,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miic
2024-03-12 22:54:13.708,"112 km NNE of Hihifo, Tonga",4.7,25.495,-173.3145,-15.0469,earthquake,us6000mjmc,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjmc
2024-03-12 22:04:52.377,"30 km NE of Salcabamba, Peru",4.5,10.248,-74.6082,-11.9866,earthquake,us6000mihq,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mihq
2024-03-12 21:20:48.527,South Sandwich Islands region,4.7,55.339,-27.0453,-60.3287,earthquake,us6000mjmh,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjmh
2024-03-12 20:56:50.948,"94 km SW of Atka, Alaska",4.6,37.858,-175.1246,51.5731,earthquake,us6000miha,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miha
2024-03-12 16:40:43.057,"152 km SW of Merizo Village, Guam",4.9,20.494,143.7724,12.2003,earthquake,us6000mjmb,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjmb
2024-03-12 16:27:20.633,"285 km E of Levuka, Fiji",4.6,575.888,-177.9945,-17.9468,earthquake,us6000mjlz,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjlz
2024-03-12 16:11:19.598,Mid-Indian Ridge,4.5,10.0,67.8853,-20.294,earthquake,us6000mjm5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm5
2024-03-12 15:35:46.902,Fiji region,4.6,564.117,-177.7901,-18.2535,earthquake,us6000mjlx,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjlx
2024-03-12 14:47:29.385,Mid-Indian Ridge,4.7,10.0,77.4768,-33.7079,earthquake,us6000mjm9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm9
2024-03-12 10:41:03.502,Chagos Archipelago region,5.0,10.0,68.3169,-8.0757,earthquake,us7000m4ub,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ub
2024-03-12 09:44:49.599,northern Mid-Atlantic Ridge,4.8,10.0,-44.6428,26.3545,earthquake,us7000m4u6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4u6
2024-03-12 05:07:56.903,Macquarie Island region,4.6,10.0,158.865,-59.212,earthquake,us7000m4t8,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4t8
